Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Reviews Count,press on nails,Organic,All,1318.55,62.0,2.0,32.0,5559.85,67596.0,1.0,15.5,368.0
Amount Discounted,press on nails,Organic,All,2.1,1.43,1.0,39.0,1.97,13.0,-0.38,1.0,2.22
Percent Discounted,press on nails,Organic,All,0.22,0.16,0.13,28.0,0.15,0.93,-0.1,0.13,0.26
Revenue,press on nails,Organic,Best Seller,73744.59,59220.96,7235.92,1.0,72253.67,169300.53,7235.92,24451.67,108513.88
Price,press on nails,Organic,Best Seller,6.98,7.99,9.99,2.0,3.84,9.99,1.97,4.99,9.99
Rating,press on nails,Organic,Best Seller,4.47,4.45,4.4,2.0,0.1,4.6,4.4,4.4,4.53
Reviews Count,press on nails,Organic,Best Seller,10578.5,12079.5,1208.0,1.0,7163.25,16947.0,1208.0,6927.5,15730.5
Amount Discounted,press on nails,Organic,Best Seller,3.01,3.01,1.02,1.0,2.81,5.0,1.02,2.02,4.0
Percent Discounted,press on nails,Organic,Best Seller,0.34,0.34,0.33,1.0,0.01,0.34,0.33,0.33,0.34
Revenue,press on nails,Organic,Past Month Sales Volume,17401.76,1246.19,8991.0,3.0,65198.03,878072.04,5.99,250.11,8994.43
Price,press on nails,Organic,Past Month Sales Volume,8.91,7.99,7.99,55.0,5.2,43.99,0.99,6.68,8.99
Rating,press on nails,Organic,Past Month Sales Volume,4.04,4.1,4.3,57.0,0.51,5.0,0.0,3.8,4.4
Reviews Count,press on nails,Organic,Past Month Sales Volume,2017.94,158.5,2.0,9.0,6888.38,67596.0,1.0,34.0,900.0
Amount Discounted,press on nails,Organic,Past Month Sales Volume,2.14,1.51,1.0,23.0,1.89,11.0,-0.38,1.0,2.3
Percent Discounted,press on nails,Organic,Past Month Sales Volume,0.22,0.17,0.13,19.0,0.15,0.85,-0.1,0.13,0.27
Revenue,press on nails,Organic,Prime,11380.13,476.23,13.94,5.0,52642.24,878072.04,3.98,115.3,3383.3
Price,press on nails,Organic,Prime,8.47,7.77,6.99,94.0,4.42,43.99,0.99,6.58,8.99
Rating,press on nails,Organic,Prime,3.86,4.0,3.8,72.0,0.87,5.0,0.0,3.7,4.3
Reviews Count,press on nails,Organic,Prime,1327.15,64.0,2.0,31.0,5577.27,67596.0,1.0,16.0,384.75
Amount Discounted,press on nails,Organic,Prime,2.1,1.4,1.0,39.0,1.98,13.0,-0.38,1.0,2.22
Percent Discounted,press on nails,Organic,Prime,0.22,0.16,0.13,28.0,0.15,0.93,-0.1,0.13,0.26
Revenue,press on nails,Paid,All,245.77,111.84,107.88,1.0,235.41,517.59,107.88,109.86,314.72
Price,press on nails,Paid,All,7.76,7.29,6.99,1.0,1.08,8.99,6.99,7.14,8.14
Rating,press on nails,Paid,All,3.73,3.7,3.5,1.0,0.25,4.0,3.5,3.6,3.85
Reviews Count,press on nails,Paid,All,33.0,16.0,12.0,1.0,32.97,71.0,12.0,14.0,43.5
Amount Discounted,press on nails,Paid,All,1.61,1.61,1.61,1.0,,1.61,1.61,1.61,1.61
Percent Discounted,press on nails,Paid,All,0.18,0.18,0.18,1.0,,0.18,0.18,0.18,0.18
Revenue,press on nails,Paid,Best Seller,,,,,,,,,
Price,press on nails,Paid,Best Seller,,,,,,,,,
Rating,press on nails,Paid,Best Seller,,,,,,,,,
Reviews Count,press on nails,Paid,Best Seller,,,,,,,,,
Amount Discounted,press on nails,Paid,Best Seller,,,,,,,,,
