Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,moissanite,Paid,All,19234.77,3559.6,71596.42,6.0,40895.03,296448.1,44.97,981.96,16127.72
Price,moissanite,Paid,All,100.52,74.99,39.99,12.0,87.03,699.0,7.99,45.99,127.24
Rating,moissanite,Paid,All,4.31,4.4,4.4,50.0,0.72,5.0,0.0,4.2,4.6
Reviews Count,moissanite,Paid,All,395.82,45.0,4.0,10.0,1719.87,21190.0,1.0,11.0,237.75
Amount Discounted,moissanite,Paid,All,7.82,6.0,10.0,5.0,7.15,35.75,1.0,4.0,10.0
Percent Discounted,moissanite,Paid,All,0.14,0.14,0.2,5.0,0.08,0.33,0.05,0.08,0.2
Revenue,moissanite,Paid,Best Seller,,,,,,,,,
Price,moissanite,Paid,Best Seller,,,,,,,,,
Rating,moissanite,Paid,Best Seller,,,,,,,,,
Reviews Count,moissanite,Paid,Best Seller,,,,,,,,,
Amount Discounted,moissanite,Paid,Best Seller,,,,,,,,,
Percent Discounted,moissanite,Paid,Best Seller,,,,,,,,,
Revenue,moissanite,Paid,Past Month Sales Volume,87845.98,69304.3,127859.55,2.0,94087.8,296448.1,909.3,17993.89,116494.26
Price,moissanite,Paid,Past Month Sales Volume,55.78,41.99,41.99,2.0,51.74,196.88,11.98,20.98,60.49
Rating,moissanite,Paid,Past Month Sales Volume,4.54,4.5,4.5,4.0,0.18,4.9,4.3,4.4,4.6
Reviews Count,moissanite,Paid,Past Month Sales Volume,4007.8,1484.0,3045.0,2.0,6551.99,21190.0,29.0,299.0,3045.0
Amount Discounted,moissanite,Paid,Past Month Sales Volume,14.59,4.01,4.0,1.0,18.33,35.75,4.0,4.0,19.88
Percent Discounted,moissanite,Paid,Past Month Sales Volume,0.22,0.2,0.13,1.0,0.1,0.33,0.13,0.17,0.26
Revenue,moissanite,Paid,Prime,20396.45,3854.36,71596.42,6.0,42228.65,296448.1,44.97,1101.63,17275.68
Price,moissanite,Paid,Prime,91.23,69.99,39.99,12.0,67.43,499.95,7.99,45.99,119.99
Rating,moissanite,Paid,Prime,4.32,4.4,4.4,50.0,0.61,5.0,0.0,4.2,4.6
Reviews Count,moissanite,Paid,Prime,422.79,49.0,4.0,9.0,1784.71,21190.0,1.0,12.0,244.0
Amount Discounted,moissanite,Paid,Prime,6.42,6.0,10.0,5.0,3.27,10.0,1.0,4.0,10.0
Percent Discounted,moissanite,Paid,Prime,0.14,0.14,0.2,5.0,0.07,0.25,0.05,0.07,0.2
Revenue,birthstone,Organic,All,13688.47,1199.76,9.99,43.0,55721.69,1284337.28,0.79,216.79,6838.4
Price,birthstone,Organic,All,58.19,24.99,9.99,777.0,127.43,3519.0,0.01,14.99,45.99
Rating,birthstone,Organic,All,4.2,4.5,4.5,1823.0,1.06,5.0,0.0,4.2,4.6
Reviews Count,birthstone,Organic,All,499.17,40.0,1.0,1015.0,1916.09,45855.0,1.0,6.0,262.0
Amount Discounted,birthstone,Organic,All,8.99,4.0,2.0,109.0,12.81,100.0,0.49,2.0,10.0
Percent Discounted,birthstone,Organic,All,0.22,0.18,0.2,32.0,0.15,0.7,0.05,0.1,0.29
Revenue,birthstone,Organic,Best Seller,332077.72,48187.81,11688.3,4.0,396070.21,1118520.0,3551.05,11688.3,683540.0
Price,birthstone,Organic,Best Seller,25.29,11.99,9.99,6.0,22.34,72.0,3.9,9.99,44.0
Rating,birthstone,Organic,Best Seller,4.47,4.5,4.6,9.0,0.15,4.6,4.2,4.4,4.6
Reviews Count,birthstone,Organic,Best Seller,9123.38,6891.0,15535.0,7.0,7883.41,24352.0,395.0,1170.0,15535.0
Amount Discounted,birthstone,Organic,Best Seller,11.08,13.0,13.0,3.0,4.93,16.0,0.56,11.0,13.0
Percent Discounted,birthstone,Organic,Best Seller,0.19,0.2,0.2,5.0,0.03,0.2,0.11,0.19,0.2
Revenue,birthstone,Organic,Past Month Sales Volume,71823.91,14162.19,153096.19,11.0,170850.3,1284337.28,7.99,3470.76,66350.52
Price,birthstone,Organic,Past Month Sales Volume,29.12,19.9,9.99,71.0,26.28,199.0,3.6,12.99,34.99
Rating,birthstone,Organic,Past Month Sales Volume,4.47,4.5,4.6,224.0,0.33,5.0,0.0,4.4,4.6
Reviews Count,birthstone,Organic,Past Month Sales Volume,2635.35,648.5,8.0,13.0,5399.25,45855.0,1.0,164.25,2430.5
Amount Discounted,birthstone,Organic,Past Month Sales Volume,8.12,4.0,2.0,15.0,10.16,70.01,0.51,2.0,12.0
Percent Discounted,birthstone,Organic,Past Month Sales Volume,0.21,0.2,0.2,24.0,0.13,0.7,0.05,0.13,0.25
Revenue,birthstone,Organic,Prime,16180.52,1819.86,9.99,38.0,62289.77,1284337.28,2.72,309.95,8851.44
Price,birthstone,Organic,Prime,47.47,21.99,9.99,708.0,105.09,2175.0,2.72,13.99,41.19
Rating,birthstone,Organic,Prime,4.31,4.5,4.5,1516.0,0.82,5.0,0.0,4.3,4.6
Reviews Count,birthstone,Organic,Prime,612.54,62.0,1.0,434.0,2171.85,45855.0,1.0,11.0,343.5
Amount Discounted,birthstone,Organic,Prime,9.07,4.0,2.0,108.0,12.89,100.0,0.49,2.0,10.0
Percent Discounted,birthstone,Organic,Prime,0.22,0.18,0.2,32.0,0.15,0.7,0.05,0.1,0.29
Revenue,birthstone,Paid,All,17229.22,1203.72,8969.31,15.0,81060.09,1284337.28,7.99,299.8,5926.78
Price,birthstone,Paid,All,59.9,35.99,79.99,39.0,74.63,894.89,5.99,16.11,79.99
Rating,birthstone,Paid,All,4.18,4.4,4.4,125.0,1.1,5.0,0.0,4.3,4.6
Reviews Count,birthstone,Paid,All,564.56,31.0,1.0,35.0,2598.47,43535.0,1.0,8.0,159.0
Amount Discounted,birthstone,Paid,All,15.45,10.0,30.0,17.0,14.6,50.0,0.95,3.8,30.0
Percent Discounted,birthstone,Paid,All,0.21,0.2,0.19,17.0,0.11,0.56,0.05,0.16,0.22
Revenue,birthstone,Paid,Best Seller,34803.28,2487.58,727.35,1.0,65824.91,133510.63,727.35,766.35,36524.51
Price,birthstone,Paid,Best Seller,14.79,11.59,9.99,1.0,7.51,25.99,9.99,10.89,15.49
Rating,birthstone,Paid,Best Seller,4.38,4.3,4.3,3.0,0.15,4.6,4.3,4.3,4.38
Reviews Count,birthstone,Paid,Best Seller,1421.75,242.5,65.0,2.0,2482.48,5137.0,65.0,65.0,1599.25
Amount Discounted,birthstone,Paid,Best Seller,2.9,2.9,2.8,1.0,0.14,3.0,2.8,2.85,2.95
Percent Discounted,birthstone,Paid,Best Seller,0.2,0.2,0.2,1.0,0.0,0.2,0.2,0.2,0.2
Revenue,birthstone,Paid,Past Month Sales Volume,76071.63,6856.88,530.41,5.0,205342.43,1284337.28,47.96,766.35,62148.43
Price,birthstone,Paid,Past Month Sales Volume,25.05,13.99,9.99,12.0,26.31,129.99,5.99,11.98,23.24
Rating,birthstone,Paid,Past Month Sales Volume,4.49,4.5,4.6,26.0,0.19,5.0,4.0,4.3,4.6
Reviews Count,birthstone,Paid,Past Month Sales Volume,2773.18,420.0,59.0,5.0,6407.43,43535.0,4.0,59.0,2180.0
Amount Discounted,birthstone,Paid,Past Month Sales Volume,4.64,3.0,1.0,4.0,5.53,20.0,0.95,1.5,5.0
Percent Discounted,birthstone,Paid,Past Month Sales Volume,0.17,0.17,0.08,3.0,0.1,0.5,0.05,0.1,0.2
Revenue,birthstone,Paid,Prime,16975.59,1287.79,8969.31,14.0,85267.81,1284337.28,7.99,302.98,5999.5
Price,birthstone,Paid,Prime,55.76,36.49,9.99,38.0,65.91,894.89,5.99,15.98,79.99
Rating,birthstone,Paid,Prime,4.23,4.5,4.6,108.0,1.02,5.0,0.0,4.3,4.6
Reviews Count,birthstone,Paid,Prime,567.14,35.0,1.0,23.0,2742.22,43535.0,1.0,9.0,180.75
Amount Discounted,birthstone,Paid,Prime,15.3,10.0,30.0,16.0,14.6,50.0,0.95,3.6,25.0
Percent Discounted,birthstone,Paid,Prime,0.21,0.2,0.19,16.0,0.11,0.56,0.05,0.16,0.22
Revenue,cubic zirconia,Organic,All,12886.34,1198.8,9.99,46.0,41134.8,1141697.27,0.79,184.66,7407.64
Price,cubic zirconia,Organic,All,30.98,15.99,9.99,869.0,71.4,3499.0,0.79,12.96,28.3
Rating,cubic zirconia,Organic,All,4.22,4.4,4.5,1837.0,0.81,5.0,0.0,4.1,4.5
Reviews Count,cubic zirconia,Organic,All,673.92,57.0,1.0,758.0,2163.93,45855.0,1.0,9.0,365.0
Amount Discounted,cubic zirconia,Organic,All,5.55,2.99,1.0,181.0,9.9,101.5,0.5,1.5,5.01
Percent Discounted,cubic zirconia,Organic,All,0.2,0.14,0.07,35.0,0.15,0.7,0.03,0.08,0.27
Revenue,cubic zirconia,Organic,Best Seller,200961.31,63178.7,63178.7,6.0,263295.46,1021566.4,727.35,19160.02,353641.34
Price,cubic zirconia,Organic,Best Seller,14.85,13.95,13.95,7.0,6.44,41.95,5.99,11.19,14.99
Rating,cubic zirconia,Organic,Best Seller,4.33,4.3,4.4,23.0,0.15,4.7,3.8,4.3,4.4
Reviews Count,cubic zirconia,Organic,Best Seller,11625.34,5904.0,4226.0,6.0,12235.53,39627.0,65.0,1598.0,24352.0
Amount Discounted,cubic zirconia,Organic,Best Seller,2.88,2.4,1.0,2.0,2.19,10.0,1.0,1.71,3.17
Percent Discounted,cubic zirconia,Organic,Best Seller,0.2,0.16,0.2,2.0,0.12,0.53,0.08,0.12,0.2
Revenue,cubic zirconia,Organic,Past Month Sales Volume,44597.25,13248.53,61603.2,9.0,90265.19,1141697.27,6.99,2377.61,53790.97
Price,cubic zirconia,Organic,Past Month Sales Volume,17.67,13.99,9.99,119.0,16.6,446.0,3.49,11.99,17.96
Rating,cubic zirconia,Organic,Past Month Sales Volume,4.37,4.4,4.5,348.0,0.3,5.0,0.0,4.3,4.5
Reviews Count,cubic zirconia,Organic,Past Month Sales Volume,2693.41,880.0,13.0,11.0,4937.85,45855.0,1.0,161.5,3038.0
Amount Discounted,cubic zirconia,Organic,Past Month Sales Volume,3.7,2.0,1.0,49.0,6.32,55.3,0.57,1.0,3.3
Percent Discounted,cubic zirconia,Organic,Past Month Sales Volume,0.17,0.12,0.07,9.0,0.14,0.7,0.05,0.08,0.2
Revenue,cubic zirconia,Organic,Prime,14039.53,1428.9,9.99,44.0,43137.45,1141697.27,2.99,220.04,8778.4
Price,cubic zirconia,Organic,Prime,27.63,15.95,9.99,851.0,60.71,3499.0,2.99,12.95,26.99
Rating,cubic zirconia,Organic,Prime,4.25,4.4,4.4,1744.0,0.73,5.0,0.0,4.2,4.5
Reviews Count,cubic zirconia,Organic,Prime,739.85,71.0,1.0,529.0,2270.89,45855.0,1.0,12.0,425.75
Amount Discounted,cubic zirconia,Organic,Prime,5.34,2.81,1.0,177.0,9.5,101.5,0.5,1.5,5.0
Percent Discounted,cubic zirconia,Organic,Prime,0.2,0.14,0.07,35.0,0.15,0.7,0.03,0.08,0.26
Revenue,cubic zirconia,Paid,All,13703.81,1281.08,361.2,7.0,66203.94,1212977.28,7.99,209.2,5520.22
