Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,11968961,violin,Organic,Best Seller,12688.2,12688.2,12688.2,1,,12688.2,12688.2,12688.2,12688.2
Price,11968961,violin,Organic,Best Seller,19.95,19.95,19.95,1,,19.95,19.95,19.95,19.95
Rating,11968961,violin,Organic,Best Seller,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0
Reviews Count,11968961,violin,Organic,Best Seller,636.0,636.0,636.0,1,,636.0,636.0,636.0,636.0
Revenue,11968961,violin,Organic,Past Month Sales Volume,27081.98,12688.2,599.7,1,35841.65,104216.85,599.7,2007.6,28452.14
Price,11968961,violin,Organic,Past Month Sales Volume,32.83,23.99,18.99,1,18.51,68.79,18.99,19.99,32.99
Rating,11968961,violin,Organic,Past Month Sales Volume,4.22,4.2,4.0,2,0.19,4.5,4.0,4.1,4.3
Reviews Count,11968961,violin,Organic,Past Month Sales Volume,674.78,431.0,30.0,1,727.83,2003.0,30.0,84.0,1186.0
Amount Discounted,11968961,violin,Organic,Past Month Sales Volume,6.5,6.5,3.0,1,4.95,10.0,3.0,4.75,8.25
Percent Discounted,11968961,violin,Organic,Past Month Sales Volume,0.21,0.21,0.08,1,0.18,0.33,0.08,0.15,0.27
Revenue,11968961,violin,Organic,Prime,4855.61,599.7,6.65,1,13385.57,104216.85,6.65,79.96,4090.14
Price,11968961,violin,Organic,Prime,60.21,23.99,23.99,7,107.56,655.0,4.99,15.82,49.95
Rating,11968961,violin,Organic,Prime,3.74,4.2,5.0,15,1.49,5.0,0.0,3.8,4.6
Reviews Count,11968961,violin,Organic,Prime,115.16,15.0,1.0,12,291.21,2003.0,0.0,3.0,87.5
Amount Discounted,11968961,violin,Organic,Prime,4.72,2.93,0.96,1,3.9,10.0,0.96,1.54,8.85
Percent Discounted,11968961,violin,Organic,Prime,0.21,0.14,0.05,1,0.2,0.64,0.05,0.08,0.27
Revenue,11968961,violin,Organic,Amazon's Choice,104216.85,104216.85,104216.85,1,,104216.85,104216.85,104216.85,104216.85
Price,11968961,violin,Organic,Amazon's Choice,68.79,68.79,68.79,1,,68.79,68.79,68.79,68.79
Rating,11968961,violin,Organic,Amazon's Choice,4.5,4.5,4.5,1,,4.5,4.5,4.5,4.5
Reviews Count,11968961,violin,Organic,Amazon's Choice,1515.0,1515.0,1515.0,1,,1515.0,1515.0,1515.0,1515.0
Revenue,11968961,violin,Paid,All,593983.62,749947.69,3997.25,1,404704.37,872041.86,3997.25,493691.95,850239.36
Price,11968961,violin,Paid,All,123.7,147.49,39.92,1,56.19,159.89,39.92,118.72,152.46
Rating,11968961,violin,Paid,All,4.15,4.1,4.1,3,0.1,4.3,4.1,4.1,4.15
Reviews Count,11968961,violin,Paid,All,7027.25,5814.0,5814.0,2,6852.66,16456.0,25.0,4366.75,8474.5
Amount Discounted,11968961,violin,Paid,All,30.02,10.07,10.0,1,34.62,70.0,10.0,10.04,40.03
Percent Discounted,11968961,violin,Paid,All,0.19,0.2,0.06,1,0.12,0.3,0.06,0.13,0.25
Revenue,11968961,violin,Paid,Past Month Sales Volume,790645.75,842971.86,656923.52,1,116715.43,872041.86,656923.52,749947.69,857506.86
Price,11968961,violin,Paid,Past Month Sales Volume,111.63,144.99,39.92,1,62.16,149.99,39.92,92.46,147.49
Rating,11968961,violin,Paid,Past Month Sales Volume,4.17,4.1,4.1,2,0.12,4.3,4.1,4.1,4.2
Reviews Count,11968961,violin,Paid,Past Month Sales Volume,9361.33,5814.0,5814.0,2,6144.16,16456.0,5814.0,5814.0,11135.0
Amount Discounted,11968961,violin,Paid,Past Month Sales Volume,10.04,10.04,10.0,1,0.05,10.07,10.0,10.02,10.05
Percent Discounted,11968961,violin,Paid,Past Month Sales Volume,0.13,0.13,0.06,1,0.1,0.2,0.06,0.1,0.17
Revenue,11968961,violin,Paid,Prime,593983.62,749947.69,3997.25,1,404704.37,872041.86,3997.25,493691.95,850239.36
Price,11968961,violin,Paid,Prime,123.7,147.49,39.92,1,56.19,159.89,39.92,118.72,152.46
Rating,11968961,violin,Paid,Prime,4.15,4.1,4.1,3,0.1,4.3,4.1,4.1,4.15
Reviews Count,11968961,violin,Paid,Prime,7027.25,5814.0,5814.0,2,6852.66,16456.0,25.0,4366.75,8474.5
Amount Discounted,11968961,violin,Paid,Prime,30.02,10.07,10.0,1,34.62,70.0,10.0,10.04,40.03
Percent Discounted,11968961,violin,Paid,Prime,0.19,0.2,0.06,1,0.12,0.3,0.06,0.13,0.25
Revenue,11968951,violin,Organic,All,3624.11,714.5,516.0,3,7054.51,42352.94,5.99,149.01,3644.7
Price,11968951,violin,Organic,All,118.91,84.99,129.0,6,163.96,1525.0,0.0,35.95,135.0
Rating,11968951,violin,Organic,All,3.56,4.3,5.0,32,1.81,5.0,0.0,3.5,4.7
Reviews Count,11968951,violin,Organic,All,39.24,8.0,1.0,26,89.85,706.0,0.0,2.0,40.0
Amount Discounted,11968951,violin,Organic,All,12.93,7.29,1.29,1,13.48,49.2,1.29,6.19,13.51
Percent Discounted,11968951,violin,Organic,All,0.16,0.14,0.05,1,0.12,0.5,0.05,0.09,0.19
Revenue,11968951,violin,Organic,Best Seller,42352.94,42352.94,42352.94,1,,42352.94,42352.94,42352.94,42352.94
Price,11968951,violin,Organic,Best Seller,59.99,59.99,59.99,1,,59.99,59.99,59.99,59.99
Rating,11968951,violin,Organic,Best Seller,4.7,4.7,4.7,1,,4.7,4.7,4.7,4.7
Reviews Count,11968951,violin,Organic,Best Seller,706.0,706.0,706.0,1,,706.0,706.0,706.0,706.0
Amount Discounted,11968951,violin,Organic,Best Seller,15.01,15.01,15.01,1,,15.01,15.01,15.01,15.01
Percent Discounted,11968951,violin,Organic,Best Seller,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2
Revenue,11968951,violin,Organic,Prime,4023.15,841.93,516.0,3,7596.4,42352.94,5.99,119.74,4159.94
Price,11968951,violin,Organic,Prime,106.4,79.99,129.0,6,114.02,756.0,5.99,39.99,129.74
Rating,11968951,violin,Organic,Prime,3.59,4.3,5.0,22,1.77,5.0,0.0,3.7,4.7
Reviews Count,11968951,violin,Organic,Prime,44.39,8.0,1.0,22,101.35,706.0,0.0,2.0,45.75
Amount Discounted,11968951,violin,Organic,Prime,11.61,7.29,1.29,1,13.64,49.2,1.29,6.19,8.85
Percent Discounted,11968951,violin,Organic,Prime,0.16,0.12,0.05,1,0.13,0.5,0.05,0.06,0.19
Revenue,11968951,violin,Organic,Amazon's Choice,2956.32,2956.32,2956.32,1,,2956.32,2956.32,2956.32,2956.32
Price,11968951,violin,Organic,Amazon's Choice,61.59,61.59,61.59,1,,61.59,61.59,61.59,61.59
