,asin,position,keyword,category_id,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,page,min_revenue,discount,discount_rate
1616,B0B812C3HX,3,sterling silver,7454898011,129.99,"S925 Sterling Silver Necklace for Women, Wife Jewelry Rose Gold, Mom Birthday Valentines Mothers Day Gifts, Girlfriend Necklaces, Daughter Heart Jewel, Anniversary for Her",4.6,USD,,False,129.99,True,,50+,1,849,False,0.0,,,1.0,https://www.amazon.com/dp/B0B812C3HX,https://aax-us-iad.amazon.com/e/loi/imp?b=JIeTmWY8c2IZ1PhH6ocN9DQAAAGQh6Lb2wEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBlHBMQ,paid,2,110361.51,0.0,0.0
1759,B0BK4TMZTH,7,birthstone,7454898011,129.99,"S925 Sterling Silver Necklace for Women, Wife Jewelry Rose Gold, Mom Birthday Valentines Mothers Day Gifts, Girlfriend Necklaces, Daughter Heart Jewel, Anniversary for Her",4.6,USD,,False,129.99,True,,,1,849,False,0.0,,,1.0,https://www.amazon.com/dp/B0BK4TMZTH,https://aax-us-iad.amazon.com/e/loi/imp?b=JP1dJkikQt2N4Qno8vtqU9IAAAGQh6HQ0wEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBFjEmu,paid,4,110361.51,0.0,0.0
1760,B0BK4X5PSZ,7,sterling silver,7454898011,129.99,"S925 Sterling Silver Necklace for Women, Wife Jewelry Rose Gold, Mom Birthday Valentines Mothers Day Gifts, Girlfriend Necklaces, Daughter Heart Jewel, Anniversary for Her",4.6,USD,,False,129.99,True,,,1,849,False,0.0,,,1.0,https://www.amazon.com/dp/B0BK4X5PSZ,https://aax-us-iad.amazon.com/e/loi/imp?b=JOIMDRWd-WI8QTJX_naLAssAAAGQh6MTNwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICA5V1ZS,paid,6,110361.51,0.0,0.0
653,B07HS1MCTV,91,sterling silver,7454898011,67.9,"Italian 925 Sterling Silver 9mm Classic Byzantine Bracelet for Women, Handmade in Italy",4.6,USD,True,False,67.9,False,,,1,1606,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Tomorrow, Jul 7",44.0,,https://www.amazon.com/dp/B07HS1MCTV,https://m.media-amazon.com/images/I/71DaoPuuv5L._AC_UL320_.jpg,organic,2,109047.4,0.0,0.0
314,B00K0NZQHY,1,violin,11968961,68.79,Carbon Fiber Violin Bow 4/4,4.5,USD,True,False,68.79,False,,100+,1,1515,True,,"FREE delivery Wed, Jul 10 Or fastest delivery Tue, Jul 9",1.0,,https://www.amazon.com/dp/B00K0NZQHY,https://m.media-amazon.com/images/I/718nrer+ieL._AC_UL320_.jpg,amazons_choices,1,104216.85,0.0,0.0
1618,B0B88534N6,10,violin,11968991,119.99,"Vangoa Electric Violin 4/4 Full Size Silent Violin Set for Beginner Adults Teens, Solid Maple Wood Metallic Electronic Quite Violin with Ebony Fittings, Blue Vichy",3.9,USD,True,True,119.99,True,,,1,858,False,129.99,"FREE delivery Wed, Jul 10 Or fastest delivery Sun, Jul 7",18.0,,https://www.amazon.com/dp/B0B88534N6,https://m.media-amazon.com/images/I/81h0T6IcbuL._AC_UL320_.jpg,paid,7,102951.42,10.0,0.08
773,B07SRWHDY4,6,sterling silver,7454898011,23.9,"925 Sterling Silver Italian Handmade 4mm Bead Ball Strand Chain Bracelet for Women 6.5, 7, 7.5, 8 Inch Made in Italy",4.6,USD,True,False,23.9,False,,400+,1,4184,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",7.0,,https://www.amazon.com/dp/B07SRWHDY4,https://m.media-amazon.com/images/I/61I4hrkpwOL._AC_UL320_.jpg,organic,1,99997.6,0.0,0.0
1476,B09XCKGTRP,6; 8,birthstone,7454898011,129.99,Jewelry for Women Wife Infinity Heart Birthstone I Love You Necklace for Women S925 Sterling Silver Wedding Anniversary Birthday Gifts for Wife Girlfriend Women's jewelry Diamond Pendant Necklaces Gift for Her Mom Daughter Grandma on Birthday Anniversary Christmas Mother’s Day Valentine’s Day,4.6,USD,,False,129.99,True,,,1,769,False,0.0,,,1.0,https://www.amazon.com/dp/B09XCKGTRP,https://aax-us-iad.amazon.com/e/loi/imp?b=JFYUQ4K00PathWwnJYn3xb4AAAGQh6G1qgEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICD5E6Gp,paid,2,99962.31,0.0,0.0
657,B07JBL8QTD,7,sterling silver,7454898011,17.9,"925 Sterling Silver Italian 5mm Solid Diamond-Cut Cuban Link Curb Chain Bracelet for Men Women, Made in Italy",4.3,USD,True,False,17.9,False,,300+,1,5555,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",8.0,,https://www.amazon.com/dp/B07JBL8QTD,https://m.media-amazon.com/images/I/71bX6QF9yDL._AC_UL320_.jpg,organic,1,99434.5,0.0,0.0
904,B085HDTHKC,179,sterling silver,7454898011,139.0,Jewelry Set: 3 Link Bracelets,4.4,USD,True,False,139.0,False,,,1,683,False,0.0,"FREE delivery Mon, Jul 8",36.0,,https://www.amazon.com/dp/B085HDTHKC,https://m.media-amazon.com/images/I/81rBPAkXBNL._AC_UL320_.jpg,organic,4,94937.0,0.0,0.0
