Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Prime Revenue,necklace,Organic,18208.35,2006.88,19.98,52,61123.57,1283887.33,1.98,294.1,10836.22
Prime Prices,necklace,Organic,19.8,12.99,9.99,1040,51.67,2099.0,1.98,9.99,16.99
Amount Discounted,necklace,Organic,4.62,2.01,1.0,256,13.43,385.01,0.5,1.0,4.0
Percentage Discounted,necklace,Organic,0.2,0.17,0.1,40,0.14,1.0,0.05,0.1,0.28
Revenue,necklace,Paid,24641.86,5501.33,24639.58,4,54558.71,389596.35,9.99,731.39,24639.58
Prices,necklace,Paid,20.26,14.99,13.99,18,16.7,162.0,4.89,12.99,22.99
Rating,necklace,Paid,4.44,4.4,4.4,38,0.33,5.0,2.0,4.3,4.6
Reviews Count,necklace,Paid,1666.82,335.0,1.0,5,3749.46,24365.0,1.0,38.0,1678.0
Best Sellers Revenue,necklace,Paid,28496.26,28496.26,13101.26,1,21771.81,43891.25,13101.26,20798.76,36193.75
Best Sellers Prices,necklace,Paid,12.24,12.24,9.49,1,3.89,14.99,9.49,10.86,13.62
Past Month Sales Revenue,necklace,Paid,28300.4,8323.79,80593.56,3,48684.27,315519.1,89.94,3065.66,26055.14
Past Month Sales Prices,necklace,Paid,18.02,13.99,13.99,13,15.24,94.99,4.89,11.98,17.48
Prime Revenue,necklace,Paid,25160.83,5763.99,24639.58,4,55595.38,389596.35,9.99,749.96,24639.58
Prime Prices,necklace,Paid,20.05,14.99,13.99,18,16.84,162.0,4.89,12.99,22.72
Amount Discounted,necklace,Paid,3.91,3.0,1.0,9,5.56,28.8,1.0,1.0,4.0
Percentage Discounted,necklace,Paid,0.18,0.15,0.06,4,0.12,0.5,0.06,0.08,0.25
Revenue,earrings,Organic,12592.26,1025.82,9.99,40,44125.47,1749582.0,2.99,159.68,7289.71
Prices,earrings,Organic,24.35,12.99,9.99,929,188.11,15017.4,0.98,8.99,15.99
Rating,earrings,Organic,4.31,4.4,4.5,1477,0.57,5.0,0.0,4.2,4.6
Reviews Count,earrings,Organic,758.83,76.0,1.0,367,2334.78,47286.0,1.0,14.0,466.25
Best Sellers Revenue,earrings,Organic,149740.14,17897.6,1006.88,3,308157.04,1749582.0,9.99,3710.38,116520.47
Best Sellers Prices,earrings,Organic,13.42,13.69,9.99,8,5.03,37.0,7.99,9.99,14.98
Past Month Sales Revenue,earrings,Organic,25302.51,5079.09,39.96,6,64201.25,1749582.0,2.99,940.37,22738.6
Past Month Sales Prices,earrings,Organic,14.81,13.45,13.99,327,9.76,146.62,1.98,9.99,15.9
Prime Revenue,earrings,Organic,12670.23,1066.79,9.99,39,43348.21,1749582.0,2.99,162.11,7655.9
Prime Prices,earrings,Organic,22.47,12.99,9.99,908,174.63,15017.4,0.98,8.99,15.98
Amount Discounted,earrings,Organic,4.37,2.0,1.0,279,18.79,620.0,0.5,1.0,4.0
Percentage Discounted,earrings,Organic,0.21,0.17,0.1,38,0.14,0.75,0.05,0.1,0.29
Revenue,earrings,Paid,16899.43,1407.47,202.4,6,41947.11,287905.0,7.99,252.6,11593.16
Prices,earrings,Paid,19.95,14.2,13.99,23,20.87,170.99,5.99,11.99,21.99
Rating,earrings,Paid,4.33,4.5,4.5,54,0.85,5.0,0.0,4.3,4.6
Reviews Count,earrings,Paid,973.69,91.0,1.0,9,2355.75,20275.0,1.0,20.25,733.75
Best Sellers Revenue,earrings,Paid,89.91,89.91,89.91,1,,89.91,89.91,89.91,89.91
Best Sellers Prices,earrings,Paid,9.99,9.99,9.99,1,,9.99,9.99,9.99,9.99
Past Month Sales Revenue,earrings,Paid,30201.19,9043.94,439.56,2,54245.87,287905.0,38.97,1407.48,35198.24
Past Month Sales Prices,earrings,Paid,14.94,13.99,13.99,15,5.17,31.99,7.99,10.99,16.99
Prime Revenue,earrings,Paid,17077.84,1375.4,202.4,6,42211.01,287905.0,7.99,255.3,11667.99
Prime Prices,earrings,Paid,19.36,13.99,13.99,23,19.0,170.99,5.99,11.99,21.99
Amount Discounted,earrings,Paid,3.54,3.25,1.0,6,2.8,15.07,1.0,1.54,4.66
Percentage Discounted,earrings,Paid,0.2,0.14,0.07,3,0.15,0.5,0.05,0.07,0.33
Revenue,amethyst,Organic,9330.06,899.8,99.99,34,41151.97,1283887.33,0.03,164.95,4793.31
Prices,amethyst,Organic,48.87,19.99,9.99,438,92.08,2046.61,0.01,12.99,45.99
Rating,amethyst,Organic,4.15,4.4,4.5,802,1.07,5.0,0.0,4.1,4.6
Reviews Count,amethyst,Organic,470.95,31.0,1.0,475,2052.69,66948.0,1.0,5.0,213.0
Best Sellers Revenue,amethyst,Organic,192754.87,14592.7,853160.0,2,312622.87,853160.0,1048.95,2193.62,363612.6
Best Sellers Prices,amethyst,Organic,18.25,12.98,8.99,2,14.58,55.0,6.99,9.98,18.99
Past Month Sales Revenue,amethyst,Organic,45427.14,7892.75,69.9,2,126456.54,1283887.33,8.99,2212.58,32550.98
Past Month Sales Prices,amethyst,Organic,16.75,12.98,9.99,56,15.13,129.99,2.99,8.99,17.77
Prime Revenue,amethyst,Organic,10513.51,1136.4,99.99,34,44299.67,1283887.33,3.99,198.0,6066.61
Prime Prices,amethyst,Organic,40.34,18.0,9.99,430,72.14,2046.61,2.95,11.99,39.99
Amount Discounted,amethyst,Organic,7.18,2.92,1.0,71,22.87,320.75,0.37,1.14,6.0
Percentage Discounted,amethyst,Organic,0.21,0.16,0.1,11,0.15,0.74,0.04,0.1,0.29
Revenue,amethyst,Paid,10355.69,2263.38,2750.28,5,26475.03,246390.0,12.72,506.73,6834.64
Prices,amethyst,Paid,57.52,35.99,49.99,16,83.96,1200.0,6.36,17.99,69.99
Rating,amethyst,Paid,4.36,4.5,4.5,65,0.68,5.0,0.0,4.3,4.6
Reviews Count,amethyst,Paid,307.05,54.0,2.0,20,751.81,8662.0,1.0,10.0,318.25
Past Month Sales Revenue,amethyst,Paid,18280.88,4169.02,237.83,1,31949.33,118034.93,237.83,1949.48,17984.36
Past Month Sales Prices,amethyst,Paid,19.68,15.97,13.99,3,9.08,39.99,11.99,13.99,19.49
Prime Revenue,amethyst,Paid,10671.56,2639.45,2750.28,5,27012.21,246390.0,12.72,539.17,7401.4
Prime Prices,amethyst,Paid,53.95,32.99,49.99,15,84.38,1200.0,6.36,16.99,59.99
Amount Discounted,amethyst,Paid,10.53,8.97,1.0,2,8.39,31.0,1.0,6.0,10.0
Percentage Discounted,amethyst,Paid,0.23,0.18,0.05,2,0.18,0.7,0.05,0.08,0.32
Revenue,aquamarine,Organic,11876.66,1157.38,99.99,17,48392.4,1212722.31,1.06,239.94,6098.08
